"Township","Range","Section","Section Location","Year","count","TWNRNSEC"
"10N","14W","06","NE",1972,3,"10N14W06"
"10N","14W","06","NW",1972,1,"10N14W06"
"10N","16W","10","N",1978,1,"10N16W10"
"11N","13W","18","SW",1972,1,"11N13W18"
"11N","13W","19","NE",1961,2,"11N13W19"
"11N","13W","19","SE",2008,1,"11N13W19"
"11N","13W","04","NW",1961,1,"11N13W04"
"11N","14W","01","NC",1994,1,"11N14W01"
"11N","14W","10","SE",2007,1,"11N14W10"
"11N","14W","10","SW",2008,1,"11N14W10"
"11N","14W","11","W",1977,2,"11N14W11"
"11N","14W","13","NW",1968,1,"11N14W13"
"11N","14W","13","SE",1968,1,"11N14W13"
"11N","14W","13","SE",2010,3,"11N14W13"
"11N","14W","14","NE",2000,2,"11N14W14"
"11N","14W","15","NW",2000,1,"11N14W15"
"11N","14W","04","SW",1961,1,"11N14W04"
"11N","14W","04","SW",1969,1,"11N14W04"
"11N","15W","25","NE",1972,1,"11N15W25"
"11N","15W","34","SE",2004,1,"11N15W34"
"11N","15W","05","C",1968,1,"11N15W05"
"11N","17W","05","N",1975,3,"11N17W05"
"12N","11W","18","NE",2000,1,"12N11W18"
"12N","11W","18","NE",2008,2,"12N11W18"
"12N","11W","19","NW",2000,2,"12N11W19"
"12N","12W","19","NW",1980,1,"12N12W19"
"12N","12W","20","NW",2000,2,"12N12W20"
"12N","13W","35","NC",1995,1,"12N13W35"
"12N","14W","25","NE",2015,1,"12N14W25"
"12N","14W","26","W",2009,1,"12N14W26"
"12N","14W","26","WC",1968,1,"12N14W26"
"12N","14W","27","SW",1998,1,"12N14W27"
"12N","14W","27","SW",2009,1,"12N14W27"
"12N","14W","27","SW",2010,1,"12N14W27"
"12N","14W","33","SE",1969,2,"12N14W33"
"12N","16W","22","C",1979,500,"12N16W22"
"12N","16W","04","NW",2007,1,"12N16W04"
"12N","16W","05","SW",1961,1,"12N16W05"
"12N","16W","05","SW",1968,2,"12N16W05"
